Category1,Category2,Category3
relays,control-relays,impulse-relays
batteries-chargers,battery-chargers-power-banks,battery-chargers
cables-wires,computer-cable-assemblies,computer-power-cable-assemblies
cables-wires,audio-video-cable,av-cables
switches,foot-switches-accessories,foot-switch-guard-covers
automation-control-gear,process-control,ammeters
lighting,emergency-lighting-safety-lighting,emergency-exit-signs
engineering-materials-industrial-hardware,metal-materials,metal-tubes
batteries-chargers,battery-charger-accessories,battery-contacts
fuses-sockets-circuit-breakers,circuit-protection-circuit-breakers,circuit-trips
